形势与政策（3）,1730477,6742081,127,2021-08-31 03:24:42,合肥工业大学
马克思主义基本原理概论,1730468,6741895,143,2021-08-25 10:40:55,合肥工业大学
信息安全法律法规,767670,6741399,75,2021-08-25 10:40:54,合肥工业大学
信息安全数学基础,1729749,6741401,53,2021-08-25 10:40:54,合肥工业大学
离散数学,1729748,6741400,51,2021-08-25 10:40:54,合肥工业大学
Python语言与系统设计,1729716,6741304,120,2021-08-25 10:40:51,合肥工业大学
数字逻辑,1729666,6741209,120,2021-08-25 10:40:51,合肥工业大学
汇编语言程序设计,1729670,6741223,93,2021-08-25 10:40:51,合肥工业大学
大学物理实验（上）,1730309,6740272,48,2021-08-25 10:40:44,合肥工业大学
电子实习,1731051,6739598,56,2021-08-25 10:40:40,合肥工业大学
走近大诗人,1730975,6739352,250,2021-08-25 10:40:39,合肥工业大学
大学英语（3）,1730679,6738729,36,2021-08-25 10:40:36,合肥工业大学
今天的日本,2096322,6739119,254,2021-08-25 10:40:36,合肥工业大学
概率论与数理统计,1730612,6739132,199,2021-08-25 10:40:36,合肥工业大学
大学体育（3）,1731025,6737182,40,2021-08-25 10:40:25,合肥工业大学
大学生劳动教育,2007695,5987275,209,2021-04-29 02:22:58,合肥工业大学
《大学》精读,1730965,5946889,488,2021-03-30 02:13:56,合肥工业大学
日本近现代文学选读,1730974,5946897,500,2021-03-30 02:13:56,合肥工业大学
工程训练C,1731049,5946923,45,2021-03-30 02:13:56,合肥工业大学
创新创业,1731070,5946476,140,2021-03-30 02:13:51,合肥工业大学
认知实习,1194985,5947795,53,2021-03-30 02:13:44,合肥工业大学
数据结构课程设计,1194883,5947686,56,2021-03-30 02:13:44,合肥工业大学
形势与政策（2）,1195356,4904874,203,2021-03-13 02:08:09,合肥工业大学
大学体育（2）,1650092,4901684,28,2021-03-13 02:08:01,合肥工业大学
大学体育（1）,1731024,4043123,31,2021-03-11 12:05:02,合肥工业大学
中国近现代史纲要,1195360,4905010,184,2021-01-25 01:27:05,合肥工业大学
数据结构,1194975,4904499,50,2021-01-25 01:27:01,合肥工业大学
Java技术,1729669,4904342,94,2021-01-25 01:27:00,合肥工业大学
大学物理C,1730312,4903885,112,2021-01-25 01:26:57,合肥工业大学
当代大众文化导论,1194065,4903296,295,2021-01-25 01:26:54,合肥工业大学
高等数学A（下）,1193989,4903146,174,2021-01-25 01:26:54,合肥工业大学
美学,1731027,4903290,298,2021-01-25 01:26:54,合肥工业大学
线性代数,1730611,4903091,175,2021-01-25 01:26:53,合肥工业大学
大学英语（2）,1193654,4902502,34,2021-01-25 01:26:50,合肥工业大学
大学生心理健康,1731062,4901953,80,2021-01-25 01:26:46,合肥工业大学
大学英语（1）,1730678,4042271,35,2020-10-14 11:39:22,合肥工业大学
大学体育（1）,1731024,4043145,37,2020-10-14 11:39:22,合肥工业大学
大学英语（1）,1730678,4042279,33,2020-09-28 08:09:54,合肥工业大学
军事训练,1731026,4043358,420,2020-09-17 17:34:42,合肥工业大学
军事理论,1731063,4043493,254,2020-09-17 17:34:42,合肥工业大学
高等数学A（上）,1730618,4042081,138,2020-09-17 17:34:39,合肥工业大学
形势与政策（1）,1730476,4041748,216,2020-09-17 17:34:38,合肥工业大学
思想道德修养与法律基础,1730469,4041715,126,2020-09-17 17:34:38,合肥工业大学
程序设计课程设计,1729718,4040511,51,2020-09-17 17:34:36,合肥工业大学
信息安全专业导论,1729744,4040545,53,2020-09-17 17:34:36,合肥工业大学
程序设计基础,1729664,4040435,52,2020-09-17 17:34:35,合肥工业大学
