https://qn-st0.yuketang.cn/FuYRAHNG1ks8xOZ1vGLrC1mzYJxb['问题ID:18290408', '标准答案:A', '我的作答:A', '分析:暂无分析']
https://qn-st0.yuketang.cn/FiToL4_VXte4JZYEzu4_yi_JyfrT['问题ID:18290409', '标准答案:B', '我的作答:A', '分析:暂无分析']
https://qn-st0.yuketang.cn/FmtQvZZWhkX3N51i8idw_aFM0uwA['问题ID:18290410', '标准答案:C', '我的作答:C', '分析:暂无分析']
https://qn-st0.yuketang.cn/FoAHGlWXd44XitX59zIFLYcIRhMr['问题ID:18290411', '标准答案:B', '我的作答:B', '分析:暂无分析']
https://qn-st0.yuketang.cn/FszpWsRck5y0G2qZrzaJ95ie6dwr['问题ID:18290412', '标准答案:4', "我的作答:{'1': '8'}", '分析:暂无分析']
https://qn-st0.yuketang.cn/FuxvVmxKEJJeX_QvOaWjd0jx2WYq['问题ID:18290413', '标准答案:6', "我的作答:{'1': '6'}", '分析:暂无分析']
https://qn-st0.yuketang.cn/FiN6mw0JU1kmebObS6-wiz9qVmVQ['问题ID:18290414', '标准答案:-2;1;3', "我的作答:{'1': '-2', '2': '1', '3': '3'}", '分析:暂无分析']
https://qn-st0.yuketang.cn/FleNpX-kxHF8fpac7285aOOdFbmv['问题ID:18290415', '标准答案:答案暂未公布(可能包含在分析中)', "我的作答:{'content': '', 'pics': [{'pic': 'http://qn-sx.yuketang.cn/tougao_pic_8aCihkSgAdv.jpeg', 'thumb': 'http://qn-sx.yuketang.cn/tougao_pic_8aCihkSgAdv_thumb_568.jpeg'}], 'attachments': {'filelist': []}, 'audios': []}", '分析:暂无分析']
https://qn-st0.yuketang.cn/FlfuiTt2sBqK85gAO-ayArUp7MFh['问题ID:18290416', '标准答案:答案暂未公布(可能包含在分析中)', "我的作答:{'content': '', 'pics': [{'pic': 'http://qn-sx.yuketang.cn/tougao_pic_8aCrp4iha9g.jpeg', 'thumb': 'http://qn-sx.yuketang.cn/tougao_pic_8aCrp4iha9g_thumb_568.jpeg'}], 'attachments': {'filelist': []}, 'audios': []}", '分析:暂无分析']
https://qn-st0.yuketang.cn/Fuap-frx4exvluxBwXMtF31mjwZE['问题ID:18290417', '标准答案:答案暂未公布(可能包含在分析中)', "我的作答:{'content': '', 'audios': [], 'attachments': {'filelist': []}, 'pics': [{'pic': 'http://qn-sx.yuketang.cn/tougao_pic_8aCnJnwgYCB.jpeg', 'thumb': 'http://qn-sx.yuketang.cn/tougao_pic_8aCnJnwgYCB_thumb_568.jpeg'}]}", '分析:暂无分析']
